version_id,scenario_code,option_code,gene_code,weight
v2,D12_01,A,JUST,2
v2,D12_01,B,LOVE,2
v2,D12_01,C,SAFE,2
v2,D12_01,D,BALN,2
v2,D12_02,A,JUST,2
v2,D12_02,B,LOVE,2
v2,D12_02,C,SAFE,2
v2,D12_02,D,COMM,2
v2,D12_03,A,ACHV,2
v2,D12_03,B,LOVE,2
v2,D12_03,C,SAFE,2
v2,D12_03,D,BALN,2
v2,D12_04,A,JUST,2
v2,D12_04,B,LOVE,2
v2,D12_04,C,BALN,2
v2,D12_04,D,COMM,2
v2,D12_05,A,JUST,2
v2,D12_05,B,ACHV,2
v2,D12_05,C,SAFE,2
v2,D12_05,D,SPIR,2
v2,D12_06,A,JUST,2
v2,D12_06,B,LOVE,2
v2,D12_06,C,FINC,2
v2,D12_06,D,BALN,2
v2,D12_07,A,ACHV,2
v2,D12_07,B,COMM,2
v2,D12_07,C,SAFE,2
v2,D12_07,D,COMM,2
v2,D12_08,A,ACHV,2
v2,D12_08,B,LOVE,2
v2,D12_08,C,SAFE,2
v2,D12_08,D,BALN,2
v2,D12_09,A,JUST,2
v2,D12_09,B,LOVE,2
v2,D12_09,C,SAFE,2
v2,D12_09,D,COMM,2
v2,D12_10,A,JUST,2
v2,D12_10,B,LOVE,2
v2,D12_10,C,SAFE,2
v2,D12_10,D,COMM,2
v2,D12_11,A,JUST,2
v2,D12_11,B,LOVE,2
v2,D12_11,C,BALN,2
v2,D12_11,D,LEARN,2
v2,D12_12,A,JUST,2
v2,D12_12,B,LOVE,2
v2,D12_12,C,SAFE,2
v2,D12_12,D,BALN,2
v2,D12_13,A,JUST,2
v2,D12_13,B,LOVE,2
v2,D12_13,C,SAFE,2
v2,D12_13,D,BALN,2
v2,D12_14,A,ACHV,2
v2,D12_14,B,COMM,2
v2,D12_14,C,FRND,2
v2,D12_14,D,BALN,2
v2,D12_15,A,SAFE,2
v2,D12_15,B,COMM,2
v2,D12_15,C,FREE,2
v2,D12_15,D,BALN,2
v2,D12_16,A,JUST,2
v2,D12_16,B,COMM,2
v2,D12_16,C,SAFE,2
v2,D12_16,D,BALN,2
v2,D12_17,A,JUST,2
v2,D12_17,B,COMM,2
v2,D12_17,C,FREE,2
v2,D12_17,D,JOY,2
v2,D12_18,A,ACHV,2
v2,D12_18,B,COMM,2
v2,D12_18,C,FREE,2
v2,D12_18,D,LEARN,2
v2,D12_19,A,ACHV,2
v2,D12_19,B,FRND,2
v2,D12_19,C,FREE,2
v2,D12_19,D,LEARN,2
v2,D12_20,A,ACHV,2
v2,D12_20,B,FRND,2
v2,D12_20,C,FREE,2
v2,D12_20,D,LEARN,2
v2,D12_21,A,DIGN,2
v2,D12_21,B,FRND,2
v2,D12_21,C,FREE,2
v2,D12_21,D,LEARN,2
v2,D12_22,A,ACHV,2
v2,D12_22,B,FRND,2
v2,D12_22,C,FREE,2
v2,D12_22,D,LEARN,2
v2,D12_23,A,AMBT,2
v2,D12_23,B,FRND,2
v2,D12_23,C,FREE,2
v2,D12_23,D,LEARN,2
v2,D12_24,A,DIGN,2
v2,D12_24,B,FRND,2
v2,D12_24,C,FREE,2
v2,D12_24,D,LEARN,2
v2,D12_25,A,FINC,2
v2,D12_25,B,GRAT,2
v2,D12_25,C,FREE,2
v2,D12_25,D,LEARN,2
v2,D12_26,A,AMBT,2
v2,D12_26,B,SPIR,2
v2,D12_26,C,FREE,2
v2,D12_26,D,JOY,2
v2,D12_27,A,AMBT,2
v2,D12_27,B,FRND,2
v2,D12_27,C,FREE,2
v2,D12_27,D,LEARN,2
v2,D12_28,A,AMBT,2
v2,D12_28,B,FRND,2
v2,D12_28,C,FINC,2
v2,D12_28,D,SPIR,2
v2,D12_29,A,AMBT,2
v2,D12_29,B,SPIR,2
v2,D12_29,C,FINC,2
v2,D12_29,D,DIGN,2
v2,D12_30,A,DIGN,2
v2,D12_30,B,SPIR,2
v2,D12_30,C,FINC,2
v2,D12_30,D,JOY,2
v2,D12_31,A,DIGN,2
v2,D12_31,B,SPIR,2
v2,D12_31,C,DIGN,2
v2,D12_31,D,JOY,2
v2,D12_32,A,AMBT,2
v2,D12_32,B,SPIR,2
v2,D12_32,C,DIGN,2
v2,D12_32,D,JOY,2
v2,D12_33,A,AMBT,2
v2,D12_33,B,SPIR,2
v2,D12_33,C,FINC,2
v2,D12_33,D,RECO,2
v2,D12_34,A,AMBT,2
v2,D12_34,B,SPIR,2
v2,D12_34,C,FINC,2
v2,D12_34,D,DIGN,2
v2,D12_35,A,HLTH,2
v2,D12_35,B,SPIR,2
v2,D12_35,C,FINC,2
v2,D12_35,D,JOY,2
v2,D12_36,A,FUN,2
v2,D12_36,B,SPIR,2
v2,D12_36,C,FINC,2
v2,D12_36,D,JOY,2
v2,D12_37,A,ADVN,2
v2,D12_37,B,GRAT,2
v2,D12_37,C,FINC,2
v2,D12_37,D,HLTH,2
v2,D12_38,A,ARTS,2
v2,D12_38,B,GRAT,2
v2,D12_38,C,HLTH,2
v2,D12_38,D,JOY,2
v2,D12_39,A,HLTH,2
v2,D12_39,B,GRAT,2
v2,D12_39,C,RECO,2
v2,D12_39,D,JOY,2
v2,D12_40,A,RECO,2
v2,D12_40,B,GRAT,2
v2,D12_40,C,FUN,2
v2,D12_40,D,HLTH,2
v2,D12_41,A,ADVN,2
v2,D12_41,B,GRAT,2
v2,D12_41,C,ARTS,2
v2,D12_41,D,RECO,2
v2,D12_42,A,ADVN,2
v2,D12_42,B,ADVN,2
v2,D12_42,C,FUN,2
v2,D12_42,D,JOY,2
v2,D12_43,A,FUN,2
v2,D12_43,B,ADVN,2
v2,D12_43,C,ARTS,2
v2,D12_43,D,ADVN,2
v2,D12_44,A,ARTS,2
v2,D12_44,B,GRAT,2
v2,D12_44,C,ADVN,2
v2,D12_44,D,FUN,2
v2,D12_45,A,RECO,2
v2,D12_45,B,GRAT,2
v2,D12_45,C,HLTH,2
v2,D12_45,D,ARTS,2
v2,D12_46,A,FUN,2
v2,D12_46,B,RECO,2
v2,D12_46,C,ARTS,2
v2,D12_46,D,HLTH,2
v2,D12_47,A,RECO,2
v2,D12_47,B,ARTS,2
v2,D12_47,C,FUN,2
v2,D12_47,D,HLTH,2
v2,D12_48,A,FUN,2
v2,D12_48,B,ADVN,2
v2,D12_48,C,RECO,2
v2,D12_48,D,ARTS,2
