version_id,scenario_code,option_code,gene_code,weight
v2,D01,A,LOVE,2
v2,D01,B,JOY,2
v2,D01,C,HLTH,2
v2,D01,D,FREE,2
v2,D02,A,FINC,2
v2,D02,B,LEARN,2
v2,D02,C,GRAT,2
v2,D02,D,FUN,2
v2,D03,A,LOVE,2
v2,D03,B,ACHV,2
v2,D03,C,GRAT,2
v2,D03,D,LOVE,2
v2,D04,A,ADVN,2
v2,D04,B,BALN,2
v2,D04,C,BALN,2
v2,D04,D,SPIR,2
v2,D05,A,COMM,2
v2,D05,B,FRND,2
v2,D05,C,FINC,2
v2,D05,D,SAFE,2
v2,D06,A,HLTH,2
v2,D06,B,LEARN,2
v2,D06,C,FUN,2
v2,D06,D,FUN,2
v2,D07,A,JUST,2
v2,D07,B,SAFE,2
v2,D07,C,JUST,2
v2,D07,D,SAFE,2
v2,D08,A,ADVN,2
v2,D08,B,LEARN,2
v2,D08,C,ADVN,2
v2,D08,D,SPIR,2
v2,D09,A,FINC,2
v2,D09,B,LOVE,2
v2,D09,C,FINC,2
v2,D09,D,DIGN,2
v2,D10,A,COMM,2
v2,D10,B,FUN,2
v2,D10,C,FRND,2
v2,D10,D,FREE,2
v2,D11,A,ACHV,2
v2,D11,B,DIGN,2
v2,D11,C,JOY,2
v2,D11,D,LEARN,2
v2,D12,A,FINC,2
v2,D12,B,ADVN,2
v2,D12,C,GRAT,2
v2,D12,D,FUN,2
v2,D13,A,ADVN,2
v2,D13,B,BALN,2
v2,D13,C,FUN,2
v2,D13,D,HLTH,2
v2,D14,A,JUST,2
v2,D14,B,JUST,2
v2,D14,C,COMM,2
v2,D14,D,DIGN,2
v2,D15,A,LOVE,2
v2,D15,B,COMM,2
v2,D15,C,SPIR,2
v2,D15,D,AMBT,2
v2,D16,A,ACHV,2
v2,D16,B,BALN,2
v2,D16,C,AMBT,2
v2,D16,D,AMBT,2
v2,D17,A,LEARN,2
v2,D17,B,LEARN,2
v2,D17,C,FRND,2
v2,D17,D,JOY,2
v2,D18,A,JOY,2
v2,D18,B,HLTH,2
v2,D18,C,COMM,2
v2,D18,D,ACHV,2
v2,D19,A,RECO,2
v2,D19,B,RECO,2
v2,D19,C,AMBT,2
v2,D19,D,JOY,2
v2,D20,A,COMM,2
v2,D20,B,SAFE,2
v2,D20,C,ARTS,2
v2,D20,D,AMBT,2
v2,D21,A,HLTH,2
v2,D21,B,HLTH,2
v2,D21,C,HLTH,2
v2,D21,D,FREE,2
v2,D22,A,DIGN,2
v2,D22,B,DIGN,2
v2,D22,C,SAFE,2
v2,D22,D,JUST,2
v2,D23,A,RECO,2
v2,D23,B,RECO,2
v2,D23,C,GRAT,2
v2,D23,D,RECO,2
v2,D24,A,ARTS,2
v2,D24,B,ADVN,2
v2,D24,C,FUN,2
v2,D24,D,GRAT,2
v2,D25,A,LOVE,2
v2,D25,B,LOVE,2
v2,D25,C,JOY,2
v2,D25,D,FREE,2
v2,D26,A,SAFE,2
v2,D26,B,ADVN,2
v2,D26,C,FINC,2
v2,D26,D,SPIR,2
v2,D27,A,ACHV,2
v2,D27,B,JUST,2
v2,D27,C,FRND,2
v2,D27,D,FREE,2
v2,D28,A,SPIR,2
v2,D28,B,SPIR,2
v2,D28,C,SPIR,2
v2,D28,D,FREE,2
v2,D29,A,FINC,2
v2,D29,B,FINC,2
v2,D29,C,LEARN,2
v2,D29,D,FINC,2
v2,D30,A,DIGN,2
v2,D30,B,JOY,2
v2,D30,C,JUST,2
v2,D30,D,SAFE,2
v2,D31,A,ADVN,2
v2,D31,B,LEARN,2
v2,D31,C,FRND,2
v2,D31,D,FREE,2
v2,D32,A,BALN,2
v2,D32,B,LOVE,2
v2,D32,C,ACHV,2
v2,D32,D,COMM,2
v2,D33,A,DIGN,2
v2,D33,B,COMM,2
v2,D33,C,LEARN,2
v2,D33,D,JOY,2
v2,D34,A,GRAT,2
v2,D34,B,HLTH,2
v2,D34,C,LOVE,2
v2,D34,D,ARTS,2
v2,D35,A,JUST,2
v2,D35,B,COMM,2
v2,D35,C,JUST,2
v2,D35,D,SAFE,2
v2,D36,A,ARTS,2
v2,D36,B,ARTS,2
v2,D36,C,ARTS,2
v2,D36,D,ARTS,2
v2,D37,A,JUST,2
v2,D37,B,LOVE,2
v2,D37,C,SAFE,2
v2,D37,D,BALN,2
v2,D38,A,AMBT,2
v2,D38,B,ACHV,2
v2,D38,C,LEARN,2
v2,D38,D,SPIR,2
v2,D39,A,ACHV,2
v2,D39,B,SPIR,2
v2,D39,C,RECO,2
v2,D39,D,FREE,2
v2,D40,A,ARTS,2
v2,D40,B,JOY,2
v2,D40,C,GRAT,2
v2,D40,D,AMBT,2
v2,D41,A,JUST,2
v2,D41,B,JUST,2
v2,D41,C,SAFE,2
v2,D41,D,LOVE,2
v2,D42,A,AMBT,2
v2,D42,B,BALN,2
v2,D42,C,FREE,2
v2,D42,D,COMM,2
v2,D43,A,GRAT,2
v2,D43,B,RECO,2
v2,D43,C,SPIR,2
v2,D43,D,JOY,2
v2,D44,A,FUN,2
v2,D44,B,SAFE,2
v2,D44,C,COMM,2
v2,D44,D,SAFE,2
v2,D45,A,FRND,2
v2,D45,B,RECO,2
v2,D45,C,FRND,2
v2,D45,D,FREE,2
v2,D46,A,DIGN,2
v2,D46,B,FINC,2
v2,D46,C,FRND,2
v2,D46,D,FREE,2
v2,D47,A,FREE,2
v2,D47,B,FRND,2
v2,D47,C,ACHV,2
v2,D47,D,SPIR,2
v2,D48,A,BALN,2
v2,D48,B,BALN,2
v2,D48,C,BALN,2
v2,D48,D,BALN,2
v2,D01_01,A,LOVE,2
v2,D01_01,B,HLTH,2
v2,D01_01,C,SPIR,2
v2,D01_01,D,FUN,2
v2,D01_02,A,ACHV,2
v2,D01_02,B,DIGN,2
v2,D01_02,C,FINC,2
v2,D01_02,D,COMM,2
v2,D01_03,A,JOY,2
v2,D01_03,B,JUST,2
v2,D01_03,C,RECO,2
v2,D01_03,D,AMBT,2
v2,D01_04,A,FREE,2
v2,D01_04,B,FRND,2
v2,D01_04,C,ADVN,2
v2,D01_04,D,GRAT,2
v2,D01_05,A,SAFE,2
v2,D01_05,B,LEARN,2
v2,D01_05,C,ARTS,2
v2,D01_05,D,BALN,2
v2,D01_06,A,HLTH,2
v2,D01_06,B,SPIR,2
v2,D01_06,C,COMM,2
v2,D01_06,D,LOVE,2
v2,D01_07,A,DIGN,2
v2,D01_07,B,FINC,2
v2,D01_07,C,AMBT,2
v2,D01_07,D,ACHV,2
v2,D01_08,A,JUST,2
v2,D01_08,B,RECO,2
v2,D01_08,C,GRAT,2
v2,D01_08,D,JOY,2
v2,D01_09,A,FRND,2
v2,D01_09,B,ADVN,2
v2,D01_09,C,BALN,2
v2,D01_09,D,FREE,2
v2,D01_10,A,LEARN,2
v2,D01_10,B,ARTS,2
v2,D01_10,C,LOVE,2
v2,D01_10,D,SAFE,2
v2,D01_11,A,SPIR,2
v2,D01_11,B,COMM,2
v2,D01_11,C,ACHV,2
v2,D01_11,D,HLTH,2
v2,D01_12,A,FINC,2
v2,D01_12,B,AMBT,2
v2,D01_12,C,JOY,2
v2,D01_12,D,DIGN,2
v2,D01_13,A,RECO,2
v2,D01_13,B,GRAT,2
v2,D01_13,C,FREE,2
v2,D01_13,D,JUST,2
v2,D01_14,A,ADVN,2
v2,D01_14,B,BALN,2
v2,D01_14,C,SAFE,2
v2,D01_14,D,FRND,2
v2,D01_15,A,ARTS,2
v2,D01_15,B,LOVE,2
v2,D01_15,C,HLTH,2
v2,D01_15,D,LEARN,2
v2,D01_16,A,FUN,2
v2,D01_16,B,ACHV,2
v2,D01_16,C,DIGN,2
v2,D01_16,D,SPIR,2
v2,D01_17,A,COMM,2
v2,D01_17,B,JOY,2
v2,D01_17,C,JUST,2
v2,D01_17,D,FINC,2
v2,D01_18,A,AMBT,2
v2,D01_18,B,FREE,2
v2,D01_18,C,FRND,2
v2,D01_18,D,ADVN,2
v2,D01_19,A,GRAT,2
v2,D01_19,B,SAFE,2
v2,D01_19,C,LEARN,2
v2,D01_19,D,ARTS,2
v2,D01_20,A,BALN,2
v2,D01_20,B,HLTH,2
v2,D01_20,C,RECO,2
v2,D01_20,D,FUN,2
v2,D01_21,A,LOVE,2
v2,D01_21,B,DIGN,2
v2,D01_21,C,FINC,2
v2,D01_21,D,COMM,2
v2,D01_22,A,ACHV,2
v2,D01_22,B,JUST,2
v2,D01_22,C,RECO,2
v2,D01_22,D,AMBT,2
v2,D01_23,A,JOY,2
v2,D01_23,B,FRND,2
v2,D01_23,C,ADVN,2
v2,D01_23,D,GRAT,2
v2,D01_24,A,FREE,2
v2,D01_24,B,LEARN,2
v2,D01_24,C,ARTS,2
v2,D01_24,D,BALN,2
v2,D01_25,A,SAFE,2
v2,D01_25,B,SPIR,2
v2,D01_25,C,COMM,2
v2,D01_25,D,LOVE,2
v2,D01_26,A,HLTH,2
v2,D01_26,B,FINC,2
v2,D01_26,C,AMBT,2
v2,D01_26,D,ACHV,2
v2,D01_27,A,DIGN,2
v2,D01_27,B,RECO,2
v2,D01_27,C,GRAT,2
v2,D01_27,D,JOY,2
v2,D01_28,A,JUST,2
v2,D01_28,B,ADVN,2
v2,D01_28,C,BALN,2
v2,D01_28,D,FREE,2
v2,D01_29,A,FRND,2
v2,D01_29,B,ARTS,2
v2,D01_29,C,LOVE,2
v2,D01_29,D,SAFE,2
v2,D01_30,A,LEARN,2
v2,D01_30,B,FUN,2
v2,D01_30,C,ACHV,2
v2,D01_30,D,SPIR,2
v2,D01_31,A,SPIR,2
v2,D01_31,B,COMM,2
v2,D01_31,C,JOY,2
v2,D01_31,D,FINC,2
v2,D01_32,A,FINC,2
v2,D01_32,B,AMBT,2
v2,D01_32,C,GRAT,2
v2,D01_32,D,JUST,2
v2,D01_33,A,RECO,2
v2,D01_33,B,FREE,2
v2,D01_33,C,BALN,2
v2,D01_33,D,FRND,2
v2,D01_34,A,ADVN,2
v2,D01_34,B,LOVE,2
v2,D01_34,C,SAFE,2
v2,D01_34,D,LEARN,2
v2,D01_35,A,ARTS,2
v2,D01_35,B,ACHV,2
v2,D01_35,C,SPIR,2
v2,D01_35,D,HLTH,2
v2,D01_36,A,FUN,2
v2,D01_36,B,JOY,2
v2,D01_36,C,FINC,2
v2,D01_36,D,DIGN,2
v2,D01_37,A,COMM,2
v2,D01_37,B,GRAT,2
v2,D01_37,C,FRND,2
v2,D01_37,D,RECO,2
v2,D01_38,A,AMBT,2
v2,D01_38,B,BALN,2
v2,D01_38,C,LEARN,2
v2,D01_38,D,ADVN,2
v2,D01_39,A,GRAT,2
v2,D01_39,B,SAFE,2
v2,D01_39,C,ARTS,2
v2,D01_39,D,FUN,2
v2,D01_40,A,BALN,2
v2,D01_40,B,HLTH,2
v2,D01_40,C,RECO,2
v2,D01_40,D,COMM,2
v2,D01_41,A,LOVE,2
v2,D01_41,B,DIGN,2
v2,D01_41,C,FINC,2
v2,D01_41,D,AMBT,2
v2,D01_42,A,ACHV,2
v2,D01_42,B,JUST,2
v2,D01_42,C,RECO,2
v2,D01_42,D,GRAT,2
v2,D01_43,A,JOY,2
v2,D01_43,B,FRND,2
v2,D01_43,C,ADVN,2
v2,D01_43,D,BALN,2
v2,D01_44,A,FREE,2
v2,D01_44,B,LEARN,2
v2,D01_44,C,ARTS,2
v2,D01_44,D,LOVE,2
v2,D01_45,A,SAFE,2
v2,D01_45,B,SPIR,2
v2,D01_45,C,COMM,2
v2,D01_45,D,ACHV,2
v2,D01_46,A,HLTH,2
v2,D01_46,B,FINC,2
v2,D01_46,C,AMBT,2
v2,D01_46,D,JOY,2
v2,D01_47,A,DIGN,2
v2,D01_47,B,RECO,2
v2,D01_47,C,GRAT,2
v2,D01_47,D,FRND,2
v2,D01_48,A,JUST,2
v2,D01_48,B,ADVN,2
v2,D01_48,C,BALN,2
