version_id,trait_code,WIS,CRG,HRM,DSC,EMP,LOVE,ACHV,JOY,FREE,SAFE,HLTH,DIGN,JUST,FRND,LEARN,SPIR,FINC,RECO,ADVN,ARTS,FUN,COMM,AMBT,GRAT,BALN
v1,P_SIDQ,0.30,0.10,0.10,0.40,0.10,,,,,,,,,,,,,,,,,,,,
v1,P_AMAN,0.20,0.10,0.10,0.50,0.10,,,,,,,,,,,,,,,,,,,,
v1,P_RAHM,0.10,0.05,0.40,0.10,0.35,,,,,,,,,,,,,,,,,,,,
v1,P_HILM,0.25,0.05,0.35,0.25,0.10,,,,,,,,,,,,,,,,,,,,
v1,P_TAWAD,0.15,0.05,0.35,0.25,0.20,,,,,,,,,,,,,,,,,,,,
v1,P_ADL,0.20,0.20,0.10,0.40,0.10,,,,,,,,,,,,,,,,,,,,
v1,P_SHUKR,0.15,0.05,0.30,0.15,0.35,,,,,,,,,,,,,,,,,,,,
v1,P_SABR,0.20,0.10,0.20,0.40,0.10,,,,,,,,,,,,,,,,,,,,
v1,P_HAYA,0.10,0.05,0.25,0.45,0.15,,,,,,,,,,,,,,,,,,,,
v1,P_WAFA,0.20,0.10,0.20,0.40,0.10,,,,,,,,,,,,,,,,,,,,
v1,P_SHURA,0.40,0.05,0.25,0.15,0.15,,,,,,,,,,,,,,,,,,,,
v1,P_RIFQ,0.15,0.05,0.40,0.15,0.25,,,,,,,,,,,,,,,,,,,,
v1,P_JUD,0.10,0.10,0.40,0.10,0.30,,,,,,,,,,,,,,,,,,,,
v1,P_HUSN,0.15,0.05,0.35,0.20,0.25,,,,,,,,,,,,,,,,,,,,
v1,P_TAWAK,0.30,0.10,0.25,0.25,0.10,,,,,,,,,,,,,,,,,,,,
v1,P_ITQAN,0.35,0.10,0.05,0.45,0.05,,,,,,,,,,,,,,,,,,,,
v1,P_AFU,0.20,0.05,0.35,0.10,0.30,,,,,,,,,,,,,,,,,,,,
v1,P_QANA,0.20,0.05,0.35,0.25,0.15,,,,,,,,,,,,,,,,,,,,
v1,P_AMAL,0.25,0.15,0.25,0.15,0.20,,,,,,,,,,,,,,,,,,,,
v1,P_HIKM,0.60,0.10,0.10,0.15,0.05,,,,,,,,,,,,,,,,,,,,
v1,P_SHJAA,0.15,0.50,0.05,0.20,0.10,,,,,,,,,,,,,,,,,,,,
v1,P_SILAT,0.10,0.05,0.45,0.15,0.25,,,,,,,,,,,,,,,,,,,,
v1,P_IHTIR,0.15,0.05,0.30,0.35,0.15,,,,,,,,,,,,,,,,,,,,
v1,P_TAFAN,0.25,0.10,0.30,0.10,0.25,,,,,,,,,,,,,,,,,,,,
v1,P_MURUA,0.25,0.20,0.15,0.30,0.10,,,,,,,,,,,,,,,,,,,,
v1,P_MUSA,0.10,0.10,0.45,0.10,0.25,,,,,,,,,,,,,,,,,,,,
v1,P_SAKI,0.25,0.05,0.50,0.10,0.10,,,,,,,,,,,,,,,,,,,,
v1,P_WADU,0.10,0.05,0.40,0.10,0.35,,,,,,,,,,,,,,,,,,,,
v1,P_INSA,0.20,0.20,0.10,0.40,0.10,,,,,,,,,,,,,,,,,,,,
v1,P_HUBK,0.10,0.05,0.45,0.10,0.30,,,,,,,,,,,,,,,,,,,,
v2,P_SIDQ,,,,,,0.06,0.05,0.03,0.04,0.05,0.03,0.11,0.09,0.04,0.05,0.07,0.03,0.02,0.03,0.02,0.02,0.05,0.05,0.05,0.11
v2,P_AMAN,,,,,,0.05,0.06,0.03,0.04,0.10,0.04,0.08,0.07,0.04,0.05,0.07,0.08,0.02,0.03,0.02,0.02,0.05,0.05,0.04,0.06
v2,P_RAHM,,,,,,0.18,0.04,0.05,0.03,0.04,0.04,0.05,0.05,0.09,0.04,0.05,0.02,0.02,0.02,0.03,0.04,0.07,0.04,0.08,0.02
v2,P_HILM,,,,,,0.07,0.04,0.05,0.04,0.08,0.04,0.07,0.07,0.05,0.04,0.08,0.02,0.02,0.02,0.02,0.02,0.06,0.04,0.07,0.10
v2,P_TAWAD,,,,,,0.08,0.04,0.04,0.05,0.05,0.03,0.09,0.06,0.06,0.04,0.07,0.02,0.02,0.02,0.02,0.02,0.06,0.04,0.07,0.12
v2,P_ADL,,,,,,0.04,0.05,0.03,0.04,0.06,0.03,0.08,0.20,0.04,0.05,0.05,0.03,0.02,0.03,0.02,0.02,0.07,0.05,0.04,0.05
