version_id,scenario_code,scenario_set_code,order_index,scenario_text_en,scenario_text_ar
v2,D01,deep,1,Your family plans a weekend gathering but you feel exhausted.,عائلتك تخطط لتجمع في عطلة نهاية الأسبوع لكنك تشعر بالإرهاق.
v2,D02,deep,2,You receive an unexpected bonus at work.,حصلت على مكافأة غير متوقعة في العمل.
v2,D03,deep,3,A close friend is going through a difficult time.,صديق مقرب يمر بوقت صعب.
v2,D04,deep,4,You are offered a promotion that requires longer hours.,عُرضت عليك ترقية تتطلب ساعات عمل أطول.
v2,D05,deep,5,Your neighborhood starts a community initiative.,بدأ الحي مبادرة مجتمعية جديدة.
v2,D06,deep,6,You have free time on a weekday evening.,لديك وقت فراغ في مساء يوم عادي.
v2,D07,deep,7,A disagreement happens between two colleagues.,حدث خلاف بين زميلين في العمل.
v2,D08,deep,8,You feel stuck in your current routine.,تشعر بأنك عالق في روتينك الحالي.
v2,D09,deep,9,A family member asks for financial help.,أحد أفراد العائلة يطلب مساعدة مالية.
v2,D10,deep,10,You are invited to join a new social group.,تمت دعوتك للانضمام إلى مجموعة اجتماعية جديدة.
v2,D11,deep,11,You face criticism about your performance.,تلقيت انتقادًا حول أدائك.
v2,D12,deep,12,You have saved some money and are deciding what to do with it.,ادخرت مبلغًا من المال وتفكر كيف تستخدمه.
v2,D13,deep,13,A friend invites you on a spontaneous trip.,صديق يدعوك لرحلة مفاجئة.
v2,D14,deep,14,You notice unfair treatment at work.,لاحظت معاملة غير عادلة في العمل.
v2,D15,deep,15,You feel emotionally distant from people around you.,تشعر ببعد عاطفي عن من حولك.
v2,D16,deep,16,You have multiple goals but limited time.,لديك أهداف متعددة ووقت محدود.
v2,D17,deep,17,A new course becomes available in your field.,أصبح هناك دورة جديدة متاحة في مجالك.
v2,D18,deep,18,You are feeling overwhelmed by responsibilities.,تشعر بالضغط من كثرة المسؤوليات.
v2,D19,deep,19,A friend achieves something important.,صديق حقق إنجازًا مهمًا.
v2,D20,deep,20,You move to a new neighborhood.,انتقلت إلى حي جديد.
v2,D21,deep,21,You feel your health habits slipping.,تشعر بأن عاداتك الصحية بدأت تتراجع.
v2,D22,deep,22,Someone spreads a rumor about you.,أحدهم ينشر إشاعة عنك.
v2,D23,deep,23,You receive public recognition for your work.,حصلت على تقدير علني لعملك.
v2,D24,deep,24,You feel bored with your routine.,تشعر بالملل من روتينك.
v2,D25,deep,25,A relative asks for emotional support.,أحد الأقارب يطلب دعمًا عاطفيًا.
v2,D26,deep,26,You are choosing between job stability and a risky opportunity.,تختار بين وظيفة مستقرة وفرصة محفوفة بالمخاطر.
v2,D27,deep,27,A team project depends on your contribution.,مشروع جماعي يعتمد على مساهمتك.
v2,D28,deep,28,You feel disconnected from your personal beliefs.,تشعر بابتعاد عن قناعاتك الداخلية.
v2,D29,deep,29,Your expenses increase unexpectedly.,زادت مصاريفك بشكل مفاجئ.
v2,D30,deep,30,A friend forgets an important promise.,صديق نسي وعدًا مهمًا.
v2,D31,deep,31,You have an opportunity to learn a new skill.,لديك فرصة لتعلم مهارة جديدة.
v2,D32,deep,32,You feel tension between work and family time.,تشعر بتوتر بين العمل ووقت العائلة.
