version_id,advice_id,channel,advice_type,title_ar,title_en,body_ar,body_en,priority
v1,A_WIS_B1,behavior,activation,"تفعيل الحكمة: 30 ثانية قرار","Wisdom activation: 30-second decision","في أول موقف ضبابي هذا الأسبوع: توقف 30 ثانية واسأل: ما القرار الناضج (لا الآمن)؟ ثم اختر خطوة صغيرة.","At the first ambiguous moment this week: pause 30 seconds and ask: what is the mature (not safest) decision? Then take one small step.",95
v1,A_WIS_R1,reflection,activation,"تأمل الحكمة: ما الذي أراه ولا يراه غيري؟","Wisdom reflection: what do I see that others miss?","اكتب 3 إشارات رأيتها مؤخراً ولم تنتبه لها الناس. ماذا تقول لك عن الاتجاه الصحيح؟","Write 3 signals you noticed that others missed. What do they suggest about the right direction?",85
v1,A_WIS_S1,social,activation,"اجتماعي: اسأل سؤالاً يفتح الصورة","Social: ask a widening question","في نقاش مهم، اسأل سؤالاً واحداً يوسع الصورة: «ما المعلومة التي لو عرفناها ستغير قرارنا؟»","In an important discussion, ask one widening question: 'What information, if we knew it, would change our decision?'",80

v1,A_CRG_B1,behavior,activation,"تفعيل الشجاعة: فعل صغير يومي","Courage activation: one small brave act","اختر فعلاً شجاعاً صغيراً يومياً: قول رأي محترم، بدء مهمة صعبة، أو طلب مساعدة.","Choose one small brave act daily: a respectful truth, starting a hard task, or asking for help.",95
v1,A_CRG_R1,reflection,activation,"تأمل الشجاعة: سمِّ الخوف","Courage reflection: name the fear","اكتب: ماذا أخاف أن يحدث؟ ما أسوأ احتمال؟ ما خطوة حماية بسيطة؟","Write: what do I fear will happen? worst case? what simple protection step?",85
v1,A_CRG_S1,social,activation,"اجتماعي: محادثة مؤجلة","Social: the delayed conversation","اختر محادثة تؤجلها. حدِّد وقتاً قصيراً وابدأ بجملة واحدة: «أحتاج أوضح شيئاً بهدوء…».","Pick one delayed conversation. Set a short time and start with: 'I want to clarify something calmly…'.",90

v1,A_HRM_B1,behavior,activation,"تفعيل الانسجام: تهدئة بلا تنازل","Harmony activation: calm without surrender","في توتر قادم: استخدم جملة تهدئة + حد واضح: «أفهمك… وفي نفس الوقت هذا حدّي…».","In the next tension: use a calming line + a clear boundary: 'I hear you… and at the same time, this is my boundary…'.",92
v1,A_HRM_R1,reflection,activation,"تأمل الانسجام: أين أتجنب الصراحة؟","Harmony reflection: where do I avoid honesty?","اكتب موقفاً تتجنب فيه الصراحة لحماية الجو. ما طريقة صادقة ولطيفة في نفس الوقت؟","Write one place you avoid honesty to keep peace. What is a truthful and gentle way?",82
v1,A_HRM_S1,social,activation,"اجتماعي: إصلاح صغير","Social: a small repair","اختر شخصاً بينك وبينه توتر خفيف. أرسل رسالة قصيرة: «أقدّرك… وأحب أن يكون بيننا وضوح».","Pick someone with mild tension. Send: 'I appreciate you… and I want clarity between us.'",88

v1,A_DSC_B1,behavior,activation,"تفعيل الانضباط: 2-5-10","Discipline activation: 2-5-10","ابدأ يومك بـ 2 دقيقة ترتيب، 5 دقائق لأهم مهمة، 10 دقائق لمتابعة التزام.","Start your day with 2 minutes organize, 5 minutes on top task, 10 minutes follow-through.",94
v1,A_DSC_R1,reflection,activation,"تأمل الانضباط: ما التزامي الواحد؟","Discipline reflection: my one commitment","اختر التزاماً صغيراً جداً للأسبوع. اكتب لماذا هو مهم وكيف ستجعله سهلاً.","Choose one tiny weekly commitment. Write why it matters and how you’ll make it easy.",84
v1,A_DSC_S1,social,activation,"اجتماعي: وعد واضح","Social: a clear promise","قل لشخص واحد: «سأفعل كذا قبل يوم كذا». الوضوح يصنع التزاماً.","Tell one person: 'I will do X by day Y.' Clarity creates commitment.",86

v1,A_EMP_B1,behavior,activation,"تفعيل الرحمة: 3-2-1 إنصات","Mercy activation: 3-2-1 listening","في محادثة صعبة: 3 أسئلة توضيح + 2 تلخيص + 1 جملة تعاطف صادقة.","In a hard talk: 3 clarifying questions + 2 summaries + 1 sincere empathy line.",94
v1,A_EMP_R1,reflection,activation,"تأمل الرحمة: حدود الرحمة","Mercy reflection: mercy with boundaries","اكتب: كيف أكون لطيفاً دون أن أسمح بالأذى؟ ما الحد الذي يحمي الرحمة؟","Write: how can I be kind without enabling harm? What boundary protects mercy?",84
v1,A_EMP_S1,social,activation,"اجتماعي: تقدير صادق","Social: sincere appreciation","وجّه تقديراً صادقاً لشخص واحد اليوم، محدداً سلوكاً: «قدّرت فيك… لأنك…».","Give one person sincere appreciation today, naming a behavior: 'I appreciated when you… because…'.",86
