trait_code,WIS,CRG,HRM,DSC,EMP
P_SIDQ,0.30,0.10,0.10,0.40,0.10
P_AMAN,0.20,0.10,0.10,0.50,0.10
P_RAHM,0.10,0.05,0.40,0.10,0.35
P_HILM,0.25,0.05,0.35,0.25,0.10
P_TAWAD,0.15,0.05,0.35,0.25,0.20
P_ADL,0.20,0.20,0.10,0.40,0.10
P_SHUKR,0.15,0.05,0.30,0.15,0.35
P_SABR,0.20,0.10,0.20,0.40,0.10
P_HAYA,0.10,0.05,0.25,0.45,0.15
P_WAFA,0.20,0.10,0.20,0.40,0.10
P_SHURA,0.40,0.05,0.25,0.15,0.15
P_RIFQ,0.15,0.05,0.40,0.15,0.25
P_JUD,0.10,0.10,0.40,0.10,0.30
P_HUSN,0.15,0.05,0.35,0.20,0.25
P_TAWAK,0.30,0.10,0.25,0.25,0.10
P_ITQAN,0.35,0.10,0.05,0.45,0.05
P_AFU,0.20,0.05,0.35,0.10,0.30
P_QANA,0.20,0.05,0.35,0.25,0.15
P_AMAL,0.25,0.15,0.25,0.15,0.20
P_HIKM,0.60,0.10,0.10,0.15,0.05
P_SHJAA,0.15,0.50,0.05,0.20,0.10
P_SILAT,0.10,0.05,0.45,0.15,0.25
P_IHTIR,0.15,0.05,0.30,0.35,0.15
P_TAFAN,0.25,0.10,0.30,0.10,0.25
P_MURUA,0.25,0.20,0.15,0.30,0.10
P_MUSA,0.10,0.10,0.45,0.10,0.25
P_SAKI,0.25,0.05,0.50,0.10,0.10
P_WADU,0.10,0.05,0.40,0.10,0.35
P_INSA,0.20,0.20,0.10,0.40,0.10
P_HUBK,0.10,0.05,0.45,0.10,0.30
