version_id,quran_value_code,WIS,CRG,HRM,DSC,EMP,LOVE,ACHV,JOY,FREE,SAFE,HLTH,DIGN,JUST,FRND,LEARN,SPIR,FINC,RECO,ADVN,ARTS,FUN,COMM,AMBT,GRAT,BALN
v1,Q_TAQWA,0.30,0.15,0.15,0.30,0.10,,,,,,,,,,,,,,,,,,,,
v1,Q_ADL,0.15,0.25,0.10,0.40,0.10,,,,,,,,,,,,,,,,,,,,
v1,Q_RAHMA,0.10,0.05,0.35,0.10,0.40,,,,,,,,,,,,,,,,,,,,
v1,Q_SABR,0.15,0.10,0.20,0.45,0.10,,,,,,,,,,,,,,,,,,,,
v1,Q_SHUKR,0.15,0.05,0.25,0.10,0.45,,,,,,,,,,,,,,,,,,,,
v1,Q_SIDQ,0.20,0.10,0.15,0.45,0.10,,,,,,,,,,,,,,,,,,,,
v1,Q_AMANA,0.15,0.10,0.10,0.55,0.10,,,,,,,,,,,,,,,,,,,,
v1,Q_IHSAN,0.25,0.10,0.20,0.20,0.25,,,,,,,,,,,,,,,,,,,,
v1,Q_HIKMA,0.60,0.10,0.10,0.15,0.05,,,,,,,,,,,,,,,,,,,,
v1,Q_TAWAK,0.25,0.10,0.25,0.25,0.15,,,,,,,,,,,,,,,,,,,,
v1,Q_TAWBA,0.25,0.05,0.20,0.40,0.10,,,,,,,,,,,,,,,,,,,,
v1,Q_TAZKI,0.30,0.05,0.15,0.45,0.05,,,,,,,,,,,,,,,,,,,,
v1,Q_UKHWA,0.10,0.05,0.45,0.10,0.30,,,,,,,,,,,,,,,,,,,,
v1,Q_SILAT,0.10,0.05,0.35,0.15,0.35,,,,,,,,,,,,,,,,,,,,
v1,Q_HURRI,0.25,0.30,0.10,0.25,0.10,,,,,,,,,,,,,,,,,,,,
v1,Q_MIZAN,0.25,0.05,0.45,0.20,0.05,,,,,,,,,,,,,,,,,,,,
v1,Q_HAYAA,0.10,0.05,0.20,0.55,0.10,,,,,,,,,,,,,,,,,,,,
v1,Q_SALAM,0.15,0.05,0.55,0.10,0.15,,,,,,,,,,,,,,,,,,,,
v1,Q_AFW,0.20,0.05,0.30,0.10,0.35,,,,,,,,,,,,,,,,,,,,
v1,Q_QANA,0.15,0.05,0.35,0.25,0.20,,,,,,,,,,,,,,,,,,,,
v1,Q_IJTIA,0.25,0.25,0.10,0.35,0.05,,,,,,,,,,,,,,,,,,,,
v1,Q_ISTIQ,0.20,0.15,0.10,0.50,0.05,,,,,,,,,,,,,,,,,,,,
v1,Q_SHURA,0.35,0.05,0.30,0.15,0.15,,,,,,,,,,,,,,,,,,,,
v1,Q_ADAB,0.15,0.05,0.25,0.45,0.10,,,,,,,,,,,,,,,,,,,,
v1,Q_RIDA,0.25,0.05,0.40,0.20,0.10,,,,,,,,,,,,,,,,,,,,
